xtehr,zib,name_zib,path_zib,alias_zib,type_zib,card._zib,stereotype_zib,id_zib,definition_zib,definitioncode_zib,id_xtehr,path_xtehr,short_xtehr,definition_xtehr,type_xtehr,card._xtehr,binding_xtehr
EHDSPatient,Patient,Patient,Patient,NL: Patient,,,rootconcept,NL-CM:0.1.1,Root concept of the Patient information model. This root concept contains all data elements of the Patient information model.,SNOMED CT: 116154003 Patient,EHDSPatient,EHDSPatient,Patient model,C.1 - EHDS refined base model for Patient/subject information,,0..*,
EHDSPatient.address,Patient.AddressInformation,AddressInformation,Patient.AddressInformation,NL: Adresgegevens,,0..*,"data,reference",NL-CM:0.1.4,Patient's address information.,,EHDSPatient.address,EHDSPatient.address,C.1.5 - Address,"Mailing and home or office addresses. The addresses are always sequences of address parts (e.g. street address line, country, ZIP code, city) even if postal address formats may vary depending on the country. An address may or may not include a specific use code; if this attribute is not present it is assumed to be the default address useful for any purpose.",EHDSAddress,0..*,
EHDSPatient.administrativeGender,Patient.Gender,Gender,Patient.Gender,NL: Geslacht,CD,0..1,data,NL-CM:0.1.9,Patient’s administrative gender.,LOINC: 46098-0 Sex,EHDSPatient.administrativeGender,EHDSPatient.administrativeGender,C.1.4 - Administrative gender,"This field must contain a recognized valid value for ""administrative gender"". If different, ""physiological gender"" should be communicated elsewhere. ",CodeableConcept,0..1,"{'strength': 'preferred', 'description': 'HL7 Administrative Gender'}"
EHDSPatient.citizenship,,,,,,,,,,,EHDSPatient.citizenship,EHDSPatient.citizenship,C.1.8 - Citizenship (nationality),Citizenship/nationality of the patient.,CodeableConcept,0..*,"{'strength': 'preferred', 'description': 'ISO 3166-1-2'}"
EHDSPatient.communicationLanguage,,,,,,,,,,,EHDSPatient.communicationLanguage,EHDSPatient.communicationLanguage,C.1.9 - Communcation language,The language which can be used to communicate with the patient about his or her health.,CodeableConcept,0..*,"{'strength': 'preferred', 'description': 'BCP 47'}"
EHDSPatient.dateOfBirth,Patient.DateOfBirth,DateOfBirth,Patient.DateOfBirth,NL: Geboortedatum,TS,0..1,data,NL-CM:0.1.10,Patient’s date of birth. The date of birth is mandatory for a patient. A vague date (such as only the year) is permitted.,LOINC: 21112-8 Birth date,EHDSPatient.dateOfBirth,EHDSPatient.dateOfBirth,C.1.3 - Date of birth,"The date of birth of the patient [ISO TS 22220]. As age of the patient might be important for correct interpretation of the test result values, complete date of birth should be provided.",dateTime,0..1,
EHDSPatient.maritalStatus,,,,,,,,,,,EHDSPatient.maritalStatus,EHDSPatient.maritalStatus,C.1.7 - Marital status,Marital (civil) status of a patient,CodeableConcept,0..1,"{'strength': 'preferred', 'description': 'HL7 marital-status'}"
EHDSPatient.name,Patient.NameInformation,NameInformation,Patient.NameInformation,NL: Naamgegevens,,0..1,"data,reference",NL-CM:0.1.6,Patient's full name.,,EHDSPatient.name,EHDSPatient.name,C.1.2 - Name,"Name associated with the patient/subject. Name might consist of name parts, e.g. Given name or names, family name/surname, name prefix etc.",EHDSHumanName,0..*,
EHDSPatient.personalIdentifier,Patient.PatientIdentificationNumber,PatientIdentificationNumber,Patient.PatientIdentificationNumber,NL: Identificatienummer,II,0..*,data,NL-CM:0.1.7,"The patient’s identification number. In transfer situations, use of the social security number (BSN) must comply with the Use of Social Security Numbers in Healthcare Act (Wbsn-z). In other situations, other number systems can be used, such as internal hospital patient numbers for example.",,EHDSPatient.personalIdentifier,EHDSPatient.personalIdentifier,C.1.1 - Personal identifier,An identifier of the patient that is unique within a defined scope. Example: National ID (birth number) or National patient identifier for the Czech patient. Multiple identifiers could be provided. ,Identifier,1..*,
EHDSPatient.telecom,,,,,,,,,,,EHDSPatient.telecom,EHDSPatient.telecom,C.1.6 - Telecom,Telecommunication contact information (addresses) associated to a person. Multiple telecommunication addresses might be provided.,EHDSTelecom,0..*,
,Patient.ContactInformation,ContactInformation,Patient.ContactInformation,NL: Contactgegevens,,0..1,"data,reference",NL-CM:0.1.5,Patient’s telephone number(s) or e-mail address(es).,,,,,,,,
,Patient.DateOfDeath,DateOfDeath,Patient.DateOfDeath,NL: DatumOverlijden,TS,0..1,data,NL-CM:0.1.33,"The date on which the patient died. A ‘vague’ date, such as only the year, is permitted.",LOINC: 81954-0 Date of death [Date],,,,,,,
,Patient.DeathIndicator,DeathIndicator,Patient.DeathIndicator,NL: OverlijdensIndicator,BL,0..1,data,NL-CM:0.1.32,An indication stating whether the patient has died.,SNOMED CT: 397709008 Patient died,,,,,,,
,Patient.MultipleBirthIndicator,MultipleBirthIndicator,Patient.MultipleBirthIndicator,NL: MeerlingIndicator,BL,0..1,data,NL-CM:0.1.31,An indication stating whether the patient is of a multiple birth.,,,,,,,,
